conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.99E+18,Tue Nov 18 08:35:57 +0000 2025,0,Shopeefood Diskon 90% s/d 25rb ‼️ Khusus untuk resto tertentu! Cek dan klaim dari resto ini https://t.co/doSg7AQUTA t. gofood grabfood kode promo go grab shopee food sfood voucher gojek https://t.co/mvmSRHoJQB,1.99E+18,https://pbs.twimg.com/media/G6Bji99XMAAZPbB.jpg,,in,,0,0,0,https://x.com/undefined/status/1990700492981145893,1.94E+18,
1.99E+18,Tue Nov 18 08:37:44 +0000 2025,0,Shopeefood Diskon 100% s/d 35rb minbel 20K. Semua resto akun tertentu ‼️‼️ Cek dan klaim di resto ini https://t.co/tboY5WpvPI https://t.co/tboY5WpvPI t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/kkrHF5MPPa,1.99E+18,https://pbs.twimg.com/media/G6Bj9LebAAAz0UA.jpg,,in,,0,0,0,https://x.com/undefined/status/1990700940018712646,1.94E+18,
1.99E+18,Tue Nov 18 08:42:24 +0000 2025,0,‼️ ShopeeFood DISKON 100% Max 30rb * Semua resto pesanan terjadwal Klaim dan belinya disiniii https://t.co/8h7LPu2Dl3 https://t.co/8h7LPu2Dl3 t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/mGDqcvM2tn,1.99E+18,https://pbs.twimg.com/media/G6BlBnHWgAI-fOf.jpg,,in,,0,0,0,https://x.com/undefined/status/1990702117259006202,4499272992,
1.99E+18,Tue Nov 18 08:42:57 +0000 2025,0,Sebenernya pesen gofood tu udh incl biaya parkir ga sih? @gojekindonesia,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990702254454943795,706623870,
1.99E+18,Tue Nov 18 08:45:53 +0000 2025,0,@an9gia Gofood emang makin pelit akhir akhir ini. Aku pake shopeefood banyak promo ayanggg,1.99E+18,,an9gia,in,,0,1,0,https://x.com/undefined/status/1990702994279768456,1.89E+18,
1.99E+18,Tue Nov 18 08:46:35 +0000 2025,0,aku sukak bgt hujan tetapi gegara ngerantau kuliah di jakarta aku ga suka bgt hujan bikin banjir ga bisa ke kampus (padahal kost sebelah kampus) hari ini pertama kali make jatah bolos kuliah nooo gofood makanan pun jadi delay banget susah nyari driver betmut + laper ,1.99E+18,,,in,,1,1,0,https://x.com/undefined/status/1990703166703480882,1.31E+18,
1.99E+18,Tue Nov 18 08:50:17 +0000 2025,1,Mie Gacoan Murah Bingung mau makan apa? Gacoan aja! ada PROMO di ShopeeFood Voucher diskon s.d 50% level 1 cuma Rp 1.000 ️‍ klaim vouchernya sekarang sebelum kehabisan https://t.co/qpli5jqvu7 WTS ShopeeFood weekday promtwit gofood grabfood weekend selasa hemat https://t.co/Ram0FaElak,1.99E+18,https://pbs.twimg.com/media/G6Bm0T5bMAIuaRa.jpg,,in,,0,0,1,https://x.com/undefined/status/1990704100443631892,1.87E+18,
1.99E+18,Tue Nov 18 08:54:24 +0000 2025,0,kebiasaan abis pesen gofood malah ngantuk jd males makan,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990705136847761425,1.39E+18,
1.99E+18,Tue Nov 18 09:00:29 +0000 2025,2,Pengen Chikumi tapi mager antri? Pesan dulu aja ambil nanti bisa WA ke 0858-8128-3764! Lokasi : https://t.co/RuBCsfhOw9 Ada di GrabFood GoFood ShopeeFood juga! https://t.co/NXtzIdFFKo,1.99E+18,https://pbs.twimg.com/media/G6BpJmobMAQnlam.jpg,,in,,0,0,0,https://x.com/undefined/status/1990706664773988549,1261172904,
1.99E+18,Tue Nov 18 09:02:48 +0000 2025,0,hujan enaknya masak apa deh.... apa gofood aja... apa jalan beli sendiri.... bosen di kamer...........,1.99E+18,,,in,,0,8,0,https://x.com/undefined/status/1990707250978304218,1.66E+18,
1.99E+18,Tue Nov 18 09:04:06 +0000 2025,0,demi Tuhan ini ga ada yg mau ambil gofood nya apa laper bgttttttttt ,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990707575189631462,1.89E+18,
1.99E+18,Tue Nov 18 09:05:30 +0000 2025,0,Gofood error kah? 3x pesen tp sama sekali ga ada yg mau pickup orderan,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990707927943152057,1.03E+18,
